text,created_at,name
"Disappointed with @hotstarUK 
1. Weak in content
2. Unnecessary censorship of content (cuts / mutes)
2. Basic featu… https://t.co/Kogi9TYhto",2018-11-04 18:33:24,Abhiram
I loved watching #Magriet on #hotstar...anyone else?,2018-11-04 18:14:23,Liz
RT @athulyaslaves: @AthulyaOfficial #athulyafans #athulyaslaves #athulya #athulyaravi #hotstar #hotstarathulya #hot #hotathulya #tamilactre…,2018-11-04 18:11:27,A T H U L Y A  ravi's S L A V E
RT @athulyaslaves: @AthulyaOfficial #athulyafans #athulyaslaves #athulya #athulyaravi #hotstar #hotstarathulya #hot #hotathulya #tamilactre…,2018-11-04 18:09:58,A T H U L Y A  ravi's S L A V E
"It's 10:28 and still India need 27 runs to win😂😂😂😂😂 😂😂😂
Wah hotstar wah
#NerolacCricketLive #hotstar #jatinsapru… https://t.co/igp5jvlj1s",2018-11-04 17:06:21,pradipsinh rana
"@hotstar_helps This is turning out to be a mockery of live streaming #Hotstar; if you can't do it, please don't bit… https://t.co/gIYEsM3Jwr",2018-11-04 16:14:23,R K V
"#StarParivaarAwards Trending on #2 in India Trends!🎊🎉🎊😍😍
Can't wait to watch it on #Hotstar https://t.co/a0zSbsALaJ",2018-11-04 15:43:31,Gazalpreet Kaur
"@StarSportsIndia wtf? Not able to watch #INDvWI on #AirtelTVApp 
#Hotstar asks for subscription 
????",2018-11-04 14:09:27,🤐
@Videocon_d2h Ended up watching the whole #INDvWI ODI series on @hotstartweets You still didn't resolve this issue… https://t.co/2wCD23z3z9,2018-11-04 13:44:46,Prasad Pai
"RT @Ankitachirps: শুভ জন্মদিন 'বোঝেনা সে বোঝেনা' ।আজ থেকে 5 বছর আগে আমরা প্রত্যেকেই একটা উপহার পেয়েছিলাম, যেটা ছিল অমূল্য সম্পদ। একটা সময়…",2018-11-04 13:35:55,Yashian khusi #Taxi driver
#Netflix Full HD seems like 44K compared to #Hotstar Full HD.,2018-11-04 12:59:34,Amal Gupta
"RT @Ankitachirps: শুভ জন্মদিন 'বোঝেনা সে বোঝেনা' ।আজ থেকে 5 বছর আগে আমরা প্রত্যেকেই একটা উপহার পেয়েছিলাম, যেটা ছিল অমূল্য সম্পদ। একটা সময়…",2018-11-04 08:07:31,Tanu🐦
@ap_pune I am going cord cutting. Got subscription to #Netflix #Hotstar and #amazonprimevideo and it’s all sorted.… https://t.co/XWScE3yvvM,2018-11-04 07:38:13,Rushabh
"Guys you can downlad #hotstar videos from any version of #videoder All you need is Es File Explorer. Use that app,… https://t.co/s6tnZNYL3f",2018-11-04 07:06:17,Afreen
"RT @Ankitachirps: শুভ জন্মদিন 'বোঝেনা সে বোঝেনা' ।আজ থেকে 5 বছর আগে আমরা প্রত্যেকেই একটা উপহার পেয়েছিলাম, যেটা ছিল অমূল্য সম্পদ। একটা সময়…",2018-11-04 04:22:04,sima islam
